desenvolvedor,total_jogos,avaliacoes_positivas,avaliacoes_negativas,tempo_medio_jogado
!CyberApex (SkagoGames),1,1,0,0.0
#NVJOB,1,4,2,0.0
#workshop,3,9127,361,4.01
+7 Software,1,90,12,1.47
"+Mpact Games, LLC.",1,172,56,0.65
-Yodasaurus- Games,1,17,3,0.0
.Cat,1,20,2,0.0
.M.Y.W.,1,23,3,10.92
.ez Games,1,20,20,0.52
//commentout,1,440,49,1.95
0 Deer Soft,1,204,46,4.43
007berd,1,50,8,0.0
01 Games,1,45,7,0.0
011 Games,1,2304,82,6.23
07th Expansion,11,13759,531,15.566363636363635
08 Games,1,193,21,7.27
1,1,25,14,0.0
1.5 hp games,1,3,0,0.0
10 Chambers,1,52357,9740,16.32
100 Stones Interactive,1,660,135,5.45
1001 Studio,1,1248,142,2.92
100Hr Games,1,199,61,4.17
10101 Software,1,24,18,0.0
1047 Games,1,102336,9404,8.1
10F,1,1398,298,0.0
10ft Games,1,8,7,0.0
"10th Art Studio, Daring Touch",1,544,187,2.65
10tons Ltd,11,8513,874,5.700909090909091
11 bit studios,7,215189,17726,8.402857142857142
11PLANNING,1,10,17,0.0
11Sheep,2,756,58,0.175
12 East Games,1,68,3,0.0
12 to 6 Studios LLC,1,23,2,0.0
123,1,1,2,0.0
125,1,1,1,0.0
12seven,1,48,8,0.0
12x1 Doze Por Um Studio,1,6,3,0.0
13-lab,3,27,130,0.023333333333333334
1336 Studios,1,1597,422,0.0
13AM Games,2,203,42,1.2
"13AM Games, WayForward",1,121,14,0.63
13TH Division,1,13,0,0.0
14 Hours Productions,1,357,16,0.62
14Dimension Enterprise,2,7,8,0.0
14° East,1,2063,548,3.87
"16 Bit Psych, Kyle B",1,22,7,2.92
16air,4,36,7,0.0
16bit Nights,2,539,439,4.215
17-BIT,3,1173,236,4.0566666666666675
17Studio,1,134,43,3.82
1812 Productions (PC Port),1,18,29,2.63
18Light Game Ltd.,1,235,43,0.0
"18Light Game Ltd., FunZone Games",1,1004,93,8.03
1917 Studios,1,139,42,4.13
1939 Games,1,28543,10136,23.38
199CentsSTUDIO,1,63,246,0.65
1C Game Studios,1,7142,1888,25.98
"1C Game Studios, 777 Studios",1,1454,1127,4.12
1C Wireless,2,331,69,0.84
1C-Avalon,1,433,244,3.08
1C: Maddox Games,2,3310,697,7.904999999999999
1C:InoCo,6,2130,822,7.636666666666667
1CC Games,2,133,25,0.96
1M Bits Horde,1,1165,577,16.97
1MB,1,255,98,0.0
1P2P,1,460,84,5.37
1UP games,1,1,1,0.0
1bgame,1,2,0,0.0
1bit,1,710,566,0.47
1bit Games,1,0,2,0.0
2 Bears Studio,1,33,10,0.0
2 Hit Studio,1,13,3,0.0
2 Monkeys,1,569,166,3.67
2 Ton Studios,1,331,112,2.22
2 Zombie Games,1,1817,432,5.9
2 players,1,441,31,6.95
2-Volt Games,1,1,8,0.0
20 Watt Games,1,4,1,0.0
2015,1,468,212,1.52
202-N Studios,1,3,0,0.0
2020 Venture,1,136,85,0.45
2054,1,78,12,0.0
"21c.Ducks Co., Ltd.",1,99,40,5.75
221 Games,1,16,3,0.0
226GameStudio,1,2,0,0.0
22cans,3,2124,6009,8.65
24 Caret Games,1,329,63,4.2
24 Entertainment,1,225960,98967,138.22
"24Frame,inc.",1,643,138,3.6
251 Games,1,138,251,0.07
26k,2,314,34,3.645
275,1,28,1,0.0
286studio,1,86,5,0.0
2Awesome Studio,1,82,17,7.68
"2BIGo, ARP Games",1,152,41,6.92
2B_GAMES,1,41,14,5.0
2Bit Studios,2,20,2,0.0
"2Chance Projects, IIchan Eroge Team",1,1376,155,1.77
2D BOY,1,5808,347,2.82
"2D Heroes, Ursa Games",1,68,13,2.13
2D ROM,1,20,14,0.0
2DArray,1,445,120,2.68
2DGameMania,1,17,28,0.0
2DragonsGames,1,81,60,0.6
2Dynamic Games,1,918,259,5.13
"2K Australia, Gearbox Software, Aspyr (Linux)",1,33577,8802,24.38
"2K Boston, 2K Australia",1,29127,1804,6.9
"2K Boston, 2K Australia, Blind Squirrel, Feral Interactive (Mac)",1,47962,10301,7.03
2K Czech,1,51876,3121,30.05
2K Marin,1,8277,3509,5.18
"2K Marin, 2K China, Digital Extremes, 2K Australia",1,12864,1555,7.45
"2K Marin, 2K China, Digital Extremes, 2K Australia, Blind Squirrel, Feral Interactive (Mac)",1,18860,7762,7.63
2Pi Interactivee Pvt. Ltd.,1,31,17,1.77
"2Play, Prasius",1,786,165,5.08
2S Games,1,5,12,0.0
2SD,2,400,314,4.4
"2XL Games, Blitworks",1,355,76,2.1
2by3 Games,3,1000,110,5.226666666666667
2dengine,1,455,157,0.75
2ev1l,2,2,2,0.0
2nd Studio,2,73,12,0.0
2ndBoss,1,126,14,0.0
2ndUp Studios,1,216,60,0.78
2pt Interactive,1,3753,175,4.07
2x2 Games,1,776,211,9.03
"2x2 Games, Croteam",1,1529,367,6.22
2xDal,1,3,4,0.0
2xMilk,2,86,62,0.0
3 Core Studio,1,7,6,0.0
3 Fright,1,21,9,0.07
3 Minute Games,1,89,48,90.08
3 Sprockets,4,1612,505,7.2075000000000005
30 Matches,1,26,3,0.0
30 Parallel,1,72,47,0.9
30.06 Studios Ltd,1,593,719,3.55
3000AD,5,118,189,1.7060000000000002
3000Studio,1,2,1,0.0
3000White,1,1,0,0.0
302 Interactive,1,20,29,0.0
302 Studio,1,291,211,4.68
3100 games,1,41,27,4.53
314 Arts,1,297,78,7.5
33 Games,1,17,1,0.0
343 Industries,1,123333,53708,24.9
"343 Industries, Splash Damage, Ruffian Games, Bungie, Saber Interactive",1,223635,18432,36.05
"343 Industries, Vanguard Games",1,1240,302,2.63
34BigThings srl,5,7364,1387,2.472
"34BigThings srl, Event Horizon Studios",1,118,171,0.08
"38,9_Degrees",3,94,113,0.006666666666666667
39Soft,1,178,9,0.0
3:15 Software,1,5,0,0.0
3D Aim Trainer,1,2424,373,0.0
3D Avenue,1,59,11,3.43
3D FACTORY,2,36,14,0.0
3D Generation,1,17,8,0.0
3D Realms,3,176,50,0.6699999999999999
3D Realms (Apogee Software),4,117,63,0.0125
3D Talo,1,50,5,0.0
3D Visualisation Aesthetics Lab,1,14,4,0.0
3D2 Entertainment,1,140,49,1.97
"3DAR, Atlas V",1,181,20,0.08
3DClouds,5,1209,707,1.088
3DDUO,7,316,115,1.6071428571428572
3DIQ,1,27,12,0.0
3DPet,2,979,335,2.2750000000000004
3Division,2,20674,2105,62.065000000000005
3G:Games,1,13,4,0.0
3Mind Games,1,22,13,0.0
3RD BOOK,1,117,18,0.0
3S Design,1,6,1,0.0
3StrakGames,1,28,3,0.0
3X Entertainment Limited,1,255,294,11.42
3d pixel art studio,1,1,1,0.0
3dinvis games,1,164,112,0.55
3dm_live_wallpapers,1,500,180,19.2
3f Interactive,3,1433,410,4.033333333333333
3m0 studio,1,9,24,0.0
3rd Eye Studios,2,219,44,0.0
3rd eye project,1,277,41,1.17
3x3.zero,1,4,0,0.0
3y3.net,1,40,27,0.85
4 Dimension Games,1,910,105,26.12
4 Door Lemon,1,31,10,0.0
4 I Lab,1,1044,629,0.92
"404.zero, Bergamot Digital",1,13,0,0.0
4188 Studios,1,27,23,0.0
45-world,1,88,100,3.4
48h Studio,1,186,31,4.25
49 Games,1,25,22,0.3
4A Games,3,274022,28356,17.923333333333336
4Bit Games,1,182,22,2.18
4Co,1,251,106,5.28
"4DAYS LAB Co., Ltd.",1,8,1,0.0
4E Game Studio,1,2,0,0.0
4Fishing,1,762,693,3.58
4FreaksFiction,1,15,10,0.93
4Friends Games,1,79,13,0.0
4Fufelz,1,315,34,4.2
4G,2,12789,846,302.125
4H StudioLab,3,1042,91,0.0
4HEAD Studios,3,1166,449,4.41
4Head Studios,1,82,58,0.12
4MB Interactive Ltd,1,1,4,0.0
4Realms,1,10,22,0.0
4Tale Production,1,13,19,0.0
4gency,1,103,157,2.9
4ugui,1,13,4,0.0
5 Bits Games,1,1726,305,3.92
5 Lives Studios,2,4390,1942,4.71
511GAMES,1,71,17,0.0
51Pegasi Studios,1,27,4,0.0
522 Studios,1,1,2,0.0
562 Interactive,1,157,14,0.0
56K Games,1,22,3,0.0
59 Studio,1,420,74,17.57
