data_lancamento,total_jogos,jogadores_simultaneos,avaliacoes_totais,preco_medio
1997-06-30,1,1,943,9.99
1997-11-14,1,41,11023,67.95
1998-11-08,1,634,148221,9.99
1999-04-01,1,66,8738,4.99
1999-11-01,1,74,25561,1.24
2000-11-01,2,7327,256273,7.49
2001-03-15,1,103,15862,19.99
2001-06-01,2,42,21957,4.99
2001-12-01,1,2,388,19.99
2002-08-28,1,59,15257,14.99
2003-05-01,1,87,7102,4.99
2003-07-01,1,0,82,19.99
2003-11-01,1,0,932,3.24
2004-03-01,1,276,26558,9.99
2004-03-17,1,39,4076,0.0
2004-06-01,1,27,16056,9.99
2004-11-01,2,6346,196530,14.989999999999998
2004-11-16,1,1555,245627,9.99
2005-04-01,1,0,54,19.99
2005-07-11,1,108,6894,9.99
2005-08-16,1,41,2678,6.99
2005-10-12,1,0,121,0.99
2005-10-27,1,2,13686,19.99
2005-11-29,1,404,15507,19.99
2006-02-07,2,23,644,7.99
2006-03-14,1,1,2473,4.99
2006-04-01,1,4,1405,4.99
2006-05-01,1,43,4899,9.99
2006-05-08,1,1,1558,6.99
2006-05-10,1,0,1276,1.99
2006-06-01,1,18,31822,19.99
2006-07-06,2,65,2844,3.59
2006-07-11,1,3,5950,2.49
2006-07-21,2,15,1182,5.49
2006-07-26,1,0,291,1.19
2006-08-23,1,2,2359,11.99
2006-08-24,1,0,564,0.59
2006-08-30,15,876,17627,4.158
2006-09-11,1,864,16971,19.99
2006-09-14,3,1,1569,0.9966666666666667
2006-09-29,1,8,4182,11.99
2006-10-11,1,56,17925,9.99
2006-10-13,4,252,21536,19.99
2006-10-16,1,4,453,14.99
2006-10-25,4,2048,21529,8.99
2006-10-26,3,9,795,7.323333333333333
2006-11-01,1,0,46,7.99
2006-11-07,1,0,88,9.99
2006-11-15,1,2814,33344,24.99
2006-11-20,1,1,933,9.99
2006-11-22,1,4,730,7.99
2006-11-24,1,0,195,39.99
2006-11-29,1,18400,1159707,4.99
2006-12-14,1,6,338,0.0
2006-12-19,1,0,128,2.49
2006-12-21,2,87,20536,3.49
2007-01-12,1,2,1152,19.99
2007-01-24,1,15,2040,9.99
2007-02-02,1,15,5471,1.49
2007-02-14,1,0,85,3.99
2007-02-27,1,3,1939,14.99
2007-03-06,1,291,10912,4.99
2007-03-13,1,1,615,0.79
2007-03-14,2,10,1069,0.74
2007-03-15,9,226,36899,5.198888888888889
2007-03-20,1,185,47291,19.99
2007-03-22,1,104,13868,19.99
2007-03-27,1,3,311,7.99
2007-03-29,6,81,25804,6.8066666666666675
2007-04-03,1,6,2231,4.99
2007-04-06,2,152,1344,7.49
2007-05-01,1,2,2030,9.99
2007-05-04,4,217,6582,6.5525
2007-06-01,1,0,382,4.99
2007-06-05,1,29,6684,8.99
2007-06-12,1,8,3971,0.0
2007-06-15,6,4,1410,0.0
2007-06-18,1,4,1044,3.99
2007-06-25,1,1,21,0.0
2007-06-26,1,14,1947,14.99
2007-06-29,1,0,147,0.0
2007-07-03,1,2,993,9.99
2007-07-17,3,67,7515,16.49
2007-07-20,1,1,481,9.99
2007-07-24,1,1395,4592,5.99
2007-08-03,20,640,89587,3.9945
2007-08-06,1,0,162,4.99
2007-08-07,3,354,22532,4.996666666666667
2007-08-21,1,44,30931,19.99
2007-08-28,3,570,17675,2.08
2007-08-29,1,1,613,0.99
2007-09-11,1,21,2415,0.0
2007-09-21,1,0,198,3.99
2007-09-24,1,19,1138,19.99
2007-10-10,3,44477,1380995,9.993333333333332
2007-10-15,1,9,2666,7.99
2007-10-16,1,3,65,4.99
2007-10-30,1,2,1115,4.99
2007-11-05,1,1,223,9.99
2007-11-07,1,0,1465,0.99
2007-11-08,1,14,4010,9.99
2007-11-12,1,377,25070,19.99
2007-11-14,1,1,777,9.99
2007-12-13,2,4,3421,2.495
2007-12-14,1,3,91,6.99
2008-01-04,5,101,35122,3.194
2008-01-18,1,0,109,1.99
2008-01-29,4,16,1755,6.24
2008-02-08,1,0,434,5.99
2008-02-13,1,3,578,8.99
2008-02-15,1,11,10960,9.99
2008-02-20,1,0,174,14.99
2008-02-29,1,2,1001,19.99
2008-03-05,1,673,17611,0.0
2008-03-12,7,63,8006,4.421428571428572
2008-03-17,3,30,7379,0.0
2008-03-21,1,0,61,4.99
2008-04-01,2,65,13623,9.99
2008-04-09,2,66,23388,14.989999999999998
2008-04-16,3,276,31953,8.326666666666666
2008-05-08,1,0,116,9.99
2008-05-12,4,29,556,9.99
2008-05-13,5,192,10924,4.892
2008-05-16,5,2,514,0.0
2008-05-21,1,0,509,7.99
